"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"16",378,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221026_233000.WAV","Big Bog_AM1",2022-10-26,2022-10-26 23:30:00,0,1.5,-2,"Not a frog",0.987,0,0,0,0,0,0.012,0,"[0.988 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.012 0.    0.    0.   ]"
"17",386,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221027_193000.WAV","Big Bog_AM1",2022-10-27,2022-10-27 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"18",404,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221028_000000.WAV","Big Bog_AM1",2022-10-28,2022-10-28,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"19",440,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221029_210000.WAV","Big Bog_AM1",2022-10-29,2022-10-29 21:00:00,0,1.5,-2,"Not a frog",0.995,0,0,0,0,0,0.005,0,"[0.994 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.005 0.    0.    0.   ]"
"20",458,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221030_193000.WAV","Big Bog_AM1",2022-10-30,2022-10-30 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"21",493,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221031_221500.WAV","Big Bog_AM1",2022-10-31,2022-10-31 22:15:00,14,15.5,13131,"Eastern Sign-bearing Froglet",0.593,0,0.594,0.001,0,0,0.033,0.01,"[0.361 0.    0.    0.    0.01  0.    0.    0.594 0.001 0.    0.    0.
 0.    0.033 0.    0.    0.001]"
"22",514,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221101_213000.WAV","Big Bog_AM1",2022-11-01,2022-11-01 21:30:00,0,1.5,-2,"Not a frog",0.973,0,0,0,0,0,0.026,0,"[0.972 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.026 0.    0.    0.   ]"
"23",547,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221102_234500.WAV","Big Bog_AM1",2022-11-02,2022-11-02 23:45:00,0,1.5,-2,"Not a frog",0.998,0,0,0,0,0.001,0,0,"[0.998 0.    0.001 0.    0.    0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"24",554,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221103_193000.WAV","Big Bog_AM1",2022-11-03,2022-11-03 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"25",580,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221104_200000.WAV","Big Bog_AM1",2022-11-04,2022-11-04 20:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
