"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"33",782,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221112_223000.WAV","Big Bog_AM1",2022-11-12,2022-11-12 22:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"34",811,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221113_234500.WAV","Big Bog_AM1",2022-11-13,2022-11-13 23:45:00,0,1.5,-2,"Not a frog",0.978,0.005,0.004,0.003,0,0.004,0,0.006,"[0.978 0.    0.    0.005 0.006 0.    0.    0.004 0.003 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"35",812,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221114_000000.WAV","Big Bog_AM1",2022-11-14,2022-11-14,0,1.5,-2,"Not a frog",0.975,0.001,0.004,0.011,0.002,0.003,0,0.003,"[0.975 0.    0.    0.001 0.003 0.    0.    0.004 0.011 0.    0.    0.003
 0.    0.    0.    0.002 0.001]"
"36",848,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221115_210000.WAV","Big Bog_AM1",2022-11-15,2022-11-15 21:00:00,0,1.5,-2,"Not a frog",0.996,0,0.001,0.001,0,0.001,0.001,0.001,"[0.996 0.    0.    0.    0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.001 0.    0.    0.   ]"
"37",880,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221116_230000.WAV","Big Bog_AM1",2022-11-16,2022-11-16 23:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"38",890,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221117_193000.WAV","Big Bog_AM1",2022-11-17,2022-11-17 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"39",913,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221118_191500.WAV","Big Bog_AM1",2022-11-18,2022-11-18 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"40",953,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221119_231500.WAV","Big Bog_AM1",2022-11-19,2022-11-19 23:15:00,0,1.5,-2,"Not a frog",0.994,0.001,0.001,0.001,0,0.001,0,0.002,"[0.994 0.    0.    0.001 0.002 0.    0.    0.001 0.001 0.    0.    0.001
 0.001 0.    0.    0.    0.   ]"
"41",966,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221120_203000.WAV","Big Bog_AM1",2022-11-20,2022-11-20 20:30:00,0,1.5,-2,"Not a frog",0.996,0,0.001,0.001,0,0.001,0,0.001,"[0.996 0.    0.    0.    0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"42",990,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221121_203000.WAV","Big Bog_AM1",2022-11-21,2022-11-21 20:30:00,0,1.5,-2,"Not a frog",0.969,0.01,0.007,0.002,0,0.004,0,0.008,"[0.969 0.    0.    0.01  0.008 0.    0.    0.007 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"43",1023,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221122_224500.WAV","Big Bog_AM1",2022-11-22,2022-11-22 22:45:00,0,1.5,-2,"Not a frog",0.963,0.008,0.009,0.004,0,0.006,0.001,0.008,"[0.964 0.    0.    0.008 0.008 0.    0.    0.009 0.004 0.    0.    0.006
 0.001 0.001 0.    0.    0.   ]"
"44",1032,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221123_190000.WAV","Big Bog_AM1",2022-11-23,2022-11-23 19:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"45",1056,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221124_190000.WAV","Big Bog_AM1",2022-11-24,2022-11-24 19:00:00,0,1.5,-2,"Not a frog",0.984,0.001,0.001,0.001,0,0.001,0.002,0.001,"[0.984 0.004 0.003 0.001 0.001 0.    0.001 0.001 0.001 0.    0.001 0.001
 0.    0.002 0.    0.    0.001]"
"46",1078,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221125_003000.WAV","Big Bog_AM1",2022-11-25,2022-11-25 00:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"47",1108,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221126_200000.WAV","Big Bog_AM1",2022-11-26,2022-11-26 20:00:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"48",1147,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221127_234500.WAV","Big Bog_AM1",2022-11-27,2022-11-27 23:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
