Site,AM,Site_AM,Year,Barking Marsh Frog,Common Froglet,Common Spadefoot Toad,Eastern Sign-Bearing Froglet,Peron's Tree Frog,Pobblebonk,Spotted Marsh Frog
Gooseneck,2,Gooseneck_AM2,2021-22,0,1,0,1,0,0,1
Horseshoe Lagoon,1,Horseshoe Lagoon_AM1,2021-22,0,1,0,1,1,0,1
Horseshoe Lagoon,2,Horseshoe Lagoon_AM2,2021-22,0,0,0,1,1,0,1
Hut Lake,1,Hut Lake_AM1,2021-22,1,1,0,1,1,0,1
Hut Lake,2,Hut Lake_AM2,2021-22,0,0,0,1,1,0,1
Little Rushy Swamp,1,Little Rushy Swamp_AM1,2021-22,1,1,0,1,1,1,1
Little Rushy Swamp,2,Little Rushy Swamp_AM2,2021-22,1,1,0,1,0,0,1
Lowries Pump,1,Lowries Pump_AM1,2021-22,0,1,0,1,1,0,0
Lowries Pump,2,Lowries Pump_AM2,2021-22,0,0,0,0,0,0,0
Mannions,1,Mannions_AM1,2021-22,0,1,0,1,1,0,1
Mannions,2,Mannions_AM2,2021-22,0,1,0,1,1,0,0
Pinchgut Lagoon,1,Pinchgut Lagoon_AM1,2021-22,0,0,0,0,1,0,0
Pinchgut Lagoon,2,Pinchgut Lagoon_AM2,2021-22,0,0,0,0,0,0,1
Quambies,1,Quambies_AM1,2021-22,0,1,0,1,1,0,1
Quambies,2,Quambies_AM2,2021-22,0,0,0,0,0,0,0
Reed Beds Swamp,2,Reed Beds Swamp_AM2,2021-22,1,1,0,0,1,1,0
Rookery,1,Rookery_AM1,2021-22,0,1,0,1,1,0,1
Rookery,2,Rookery_AM2,2021-22,0,0,0,1,1,0,1
Steamer Plain,1,Steamer Plain_AM1,2021-22,1,1,0,1,1,0,1
Steamer Plain,2,Steamer Plain_AM2,2021-22,0,1,0,1,1,0,1
Tarma Lagoon,1,Tarma Lagoon_AM1,2021-22,0,1,0,1,1,0,0
Tarma Lagoon,2,Tarma Lagoon_AM2,2021-22,0,0,0,1,0,0,1
